"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 19:28:26 EEST 2023","Wed May 31 19:28:34 EEST 2023","7809","","hh.HhResumeTest","","hh.HhResumeTest","checkResumeAttributesHashMap","checkResumeAttributesHashMap()",""
"broken","Wed May 10 12:55:41 EEST 2023","Wed May 10 12:55:45 EEST 2023","3914","","api.ReqresTest","","api.ReqresTest","checkAvatarAndIdTest","checkAvatarAndIdTest()",""
